Mock Brand,LY Sales (Mn),TY Sales (Mn),LY Units (Mn),TY Units (Mn),LY Wt. (Mn),TY Wt. (Mn)
Dairy Delight,4680,5970,1220,1540,103500,77300
Fresh Farm,9580,10730,5450,5430,30900,24500
Nature Valley,7720,9660,3200,3070,41000,42000
Snack Shack,6590,8010,4560,5000,136800,103800
Crunchy Bites,2830,2770,7350,9510,98800,67700
Beverage Bliss,2830,3500,2750,2740,21200,18600
Grain Goods,1990,1140,3870,4520,33200,35500
NutriPack,8860,5820,6290,7580,106300,100800
Quick Meal,6610,3540,2600,2590,20700,18300
VitaBoost,7520,5720,1540,1830,40900,26500
Morning Glory,1670,1350,3030,3170,91300,82900
Fruit Fiesta,9740,6980,2130,2460,109900,120300
Choco Charm,8580,9980,7510,8660,104800,70200
Healthy Harvest,3300,2590,6660,7420,49200,42300
Snack Express,3050,2210,5430,5080,112600,117000
Protein Plus,3060,2860,7100,8760,50800,49300
Green Garden,4090,2510,6630,6820,62300,59100
Veggie Vault,5960,6800,2310,2250,117000,111300
Gourmet Treats,5170,2890,7250,6640,104500,81500
Sip Smart,3980,5130,4780,5430,130400,97400
Tasty Treats,6700,7490,6650,7790,105500,106000
Cereal Central,2690,1770,7270,6590,93900,94400
Yummy Yogurt,3980,2010,3230,3570,32200,33300
Wholesome Bakes,4610,5310,1770,1750,67800,71600
Organic Origins,5380,5730,2600,3010,54500,46600
Purely Natural,8170,8850,3990,3870,51700,44000
Fitness Fuel,3200,3570,6730,7920,146500,146400
Energy Essentials,5870,3280,7030,7410,71100,65800
Bakery Bliss,6540,5150,1050,1340,136000,129300
Savory Snacks,1890,1120,4580,4370,102000,101800
Hydrate Here,6660,7930,3920,4060,123300,128800
Berry Best,2950,2950,2550,2410,85300,65600
Fresh Squeeze,2050,1570,1840,2340,95000,74800
Eco Eats,9570,5270,3360,4200,84000,54300
Wellness Wonders,9710,7270,7600,7620,45400,40400
Herbal Harmony,8370,6360,3260,3790,113900,70400
Spice Story,4090,4430,4630,5680,56500,47100
Sweet Sensations,2330,2350,5920,6640,23200,20200
Caffeine Kick,7320,8860,3550,3950,103900,77200
Frozen Favourites,5240,4600,7800,7770,43000,38500
Ocean Fresh,2540,1510,7740,7250,142300,87600
Exotic Eats,5710,6110,2760,3470,144000,89100
Classic Comforts,1790,1980,4480,5650,138900,140500
Bold Brews,9230,8760,3110,3590,68100,53100
Sunshine Snacks,3700,4130,2990,3100,22000,14600
Plant Power,7130,6380,1260,1310,140700,121200
Daily Deli,4150,3810,5270,6270,75700,74600
Premium Picks,5920,4980,4520,5690,145700,103100
Budget Bites,6150,3200,1360,1710,145300,132400
Global Grains,3070,1800,2950,3580,130900,84100
